group_id,leader,member
358,absolut blue 40 % dst 70cl,absolut blue 40 % dst
358,absolut blue 40 % dst 70cl,absolut blue 40 % dst 70cl
359,absolut blue 70 cl,absolut blue 70 cl
361,absolut cherry 70cl,absolut cherry 70cl
364,absolut cloud berry and apple,absolut cloud berry and apple
365,absolut grapefruit,absolut grapefruit
366,absolut kurant flavoured vodka,absolut kurant flavoured vodka
367,absolut lime 70 cl,absolut lime 70 cl
369,absolut mandarin 70 cl,absolut mandarin 70 cl
370,absolut mango,absolut mango
374,absolut mixt blueberry lime can,absolut mix blueberry lime
374,absolut mixt blueberry lime can,absolut mixt blueberry lime can
375,absolut original,absolut original
380,absolut passionfruit,absolut passionfruit
381,absolut passionfruit 70cl,absolut passionfruit 70cl
382,absolut raspberri 40 % dst,absolut raspberri 40 % dst
383,absolut raspberri 70 cl,absolut raspberri 70 cl
384,absolut raspberri flavoured vodka,absolut raspberri flavoured vodka
386,absolut raspberry,absolut raspberry
388,absolut strawberry 50 cl,absolut strawberry 50 cl
389,absolut strawberry 50cl,absolut strawberry 50cl
391,absolut vanilla,absolut vanilla
393,absolut vodka,absolut vodka
394,absolut vodka 1l,absolut vodka 1l
395,absolut vodka 35 cl,absolut vodka 35 cl
399,absolut vodka citron 70cl,absolut citron vodka 70cl
399,absolut vodka citron 70cl,absolut vodka citron 70cl
401,absolut vodka miniature 5cl,absolut vodka miniature 5cl
402,absolut vodka original 1l,absolut vodka original 1l
403,absolut vodka original 35cl,absolut original 35cl
403,absolut vodka original 35cl,absolut original swedish vodka 35cl
403,absolut vodka original 35cl,absolut original vodka 35cl
403,absolut vodka original 35cl,absolut vodka original 35cl
406,absolut watermelon vodka 38 % 70cl,absolut watermelon vodka 38 % 70cl
407,absolute 70cl,absolute 70cl
408,absolute blue 70cl 40 %,absolute blue 70cl 40 %
410,absolute citron 70cl,absolute citron 70cl
411,absolute citron vodka 70 cl,absolut citron 70 cl
411,absolute citron vodka 70 cl,absolute citron vodka 70 cl
412,absolute lime vodka 70 cl,absolut vodka 70 cl
412,absolute lime vodka 70 cl,absolute blue vodka 70 cl
412,absolute lime vodka 70 cl,absolute lime vodka 70 cl
413,absolute mango vdka 70cl,absolute mango vdka 70cl
414,absolute mixt blueberry lime 5 % 250ml can,absolut mixt blueberry and lime 250ml
414,absolute mixt blueberry lime 5 % 250ml can,absolut mixt blueberry lime 250ml
414,absolute mixt blueberry lime 5 % 250ml can,absolute mixt blueberry lime 5 % 250ml can
415,absolute mixt raspberry lemon premixed 5 % 250ml can,absolute mixt raspberry lemon premixed 5 % 250ml can
416,absolute raspberry vodka 70 cl,absolute raspberry vodka 70 cl
417,absolute vanilla 70cl,absolut vanilia 70cl
417,absolute vanilla 70cl,absolut vanilla 70cl
417,absolute vanilla 70cl,absolut vanilla vodka 70cl
417,absolute vanilla 70cl,absolute vanilla 70cl
418,absolute vanilla vodka 70 cl,absolute vanilla vodka 70 cl
419,absolute vodka 1ltr,absolute vodka 1ltr
420,absolute vodka 20cl,absolute vodka 20cl
421,absolute vodka 5cl,absolut vodka 35cl
421,absolute vodka 5cl,absolute vodka 35cl
421,absolute vodka 5cl,absolute vodka 5cl
422,absolute vodka 70cl,absolut blue vodka 70cl
422,absolute vodka 70cl,absolut lime 70cl
422,absolute vodka 70cl,absolut lime vodka 70cl
422,absolute vodka 70cl,absolut mango vodka 70cl
422,absolute vodka 70cl,absolut vodka 70cl
422,absolute vodka 70cl,absolut vodka lime 70cl
422,absolute vodka 70cl,absolute vodka 70cl
423,absolute watermelon vodka 70cl,absolute watermelon vodka 70cl
424,absolutely nutty,absolutely nutty
425,ace power mousse active bleach degreaser 700ml,ace power mousse active bleach degreaser 700ml
426,ace stain remover detachant 650ml,ace stain remover detachant 650ml
428,acqua panna natural mineral water 500ml,acqua panna natural mineral water 500ml
429,acqua panna still mineral water in glass bottle 70cl,acqua panna still mineral water in glass bottle 70cl
430,actimel 0 % fat immune support blueberry 8x100ml,actimel 0 % fat immune support blueberry 8x100ml
431,actimel 0 % fat immune support strawberry 8x100ml,actimel 0 % fat immune support original 8x100ml
431,actimel 0 % fat immune support strawberry 8x100ml,actimel 0 % fat immune support strawberry 8x100ml
432,actimel blueberry 8 pack,actimel blueberry 8 pack
433,actimel drinking yogurt multifruit 8x100g,actimel drinking yogurt multifruit 8x100g
434,actimel drinking yogurt strawberry 8x100g,actimel drinking yogurt strawberry 8x100g
435,actimel multifruit 8 pack,actimel multifruit 8 pack
436,actimel strawberry 8 pack,actimel strawberry 8 pack
437,actimel strawberry flavour 8x100g,actimel strawberry 8x100g
437,actimel strawberry flavour 8x100g,actimel strawberry flavour 8x100g
438,actiph alkaline ionised water 1lt,actiph alkaline ionised water 1lt
439,actiph alkaline ionised water 500ml,actiph alkaline ionised water 500ml
440,activia 0 % peach,activia 0 % peach
441,activia 0 % peach 4x120g,activia 0 % peach 4x120g
442,activia 0 % peach4pk,activia 0 % peach4pk
443,activia intense creamy strawberry 4 x 110g 440g,activia intense creamy strawberry 4 x 110g 440g
444,activia intensely creamy peach 4 x 110g 440g,activia intensely creamy peach 4 x 110g 440g
445,activia intensly creamy strawberry 4pk 4x110g,activia intensly creamy peach 4pk
445,activia intensly creamy strawberry 4pk 4x110g,activia intensly creamy peach 4pk 4x110g
445,activia intensly creamy strawberry 4pk 4x110g,activia intensly creamy strawberry 4pk
445,activia intensly creamy strawberry 4pk 4x110g,activia intensly creamy strawberry 4pk 4x110g
446,activia intensly creamy strawberry 4x110g,activia intensly creamy strawberry 4x110g
447,activia intensly creamy vanilla 4x110g,activia intensly creamy vanilla 4x110g
448,activia rhubarb,activia rhubarb
449,activia strawberry,activia strawberry
450,activia strawberry 4pk,activia strawberry 4pk
451,activia strawberry 4x120g,activia strawberry 4x120g
452,activia strawberry 4x120g pot yogurt pack,activia strawberry 4x120g pot yogurt pack
453,activia strawberry yoghurt 4 pack,activia strawberry yoghurt 4 pack
455,adeletto prosecco 75cl 11 %,adeletto prosecco 75cl
455,adeletto prosecco 75cl 11 %,adeletto prosecco 75cl 11 %
456,adeletto prosecco doc,adeletto prosecco
456,adeletto prosecco doc,adeletto prosecco doc
457,adkns b 6 brney bap,adkns b 6 brney bap
459,adnams broadside 6.3 %,adnams broadside 6.3 %
460,adnams broadside ale 500ml,adnams broadside 500ml
460,adnams broadside ale 500ml,adnams broadside 6.3 % 500ml
460,adnams broadside ale 500ml,adnams broadside ale 500ml
461,adnams copper house gin 70cl,adnams copper house gin 70cl
462,adnams ease up ipa 500ml,adnams ease up ipa 500ml
463,adnams explorer 5.0 %,adnams explorer 5.0 %
464,adnams ghost ship 4 x 440ml,adnams ghost ship 4 x 440ml
465,adnams ghost ship 4.5 %,adnams ghost ship 4.5 %
467,adnams ghost ship 4pk 4x440ml,adnams ghost ship 4pk 4x440ml
468,adnams ghost ship 500ml,adnams ghost ship 4.5 % 500ml
468,adnams ghost ship 500ml,adnams ghost ship 500ml
470,adnams southwold bitter 4.1 %,adnams southwold bitter 4.1 %
471,adnams southwold bitter 500ml,adnams south wold bitter 4.1 % 500ml
471,adnams southwold bitter 500ml,adnams southwol bitter 500ml
471,adnams southwold bitter 500ml,adnams southwold bitter 500ml
472,adnams southwold ghost ship citrus pale ale 500ml,adnams southwold ghost ship citrus pale ale 500ml
473,adoro danish blue cheese 100g,adoro danish blue cheese 100g
476,adoro gouda cheese 200g,adoro edam cheese 200g
476,adoro gouda cheese 200g,adoro gouda cheese 200g
477,adorogouda slice 200g,adoro edam slice 200g
477,adorogouda slice 200g,adorogouda slice 200g
478,adventuros nugget boar flavour 90g,adventuros nugget boar flavour 90g
479,adventuros strip buffalo flavour 90g,adventuros strip buffalo flavour 90g
480,advocatt 70cl,advocatt 70cl
481,aero block chocolate 100g,aero block chocolate 100g
482,aero bubble milk choc bar,aero bubble milk choc bar
483,aero bubble mint choc,aero bubble mint choc
484,aero bubble peppermint mint chocolate bag 80g,aero bubble peppermint mint chocolate bag 80g
485,aero caramel ,aero caramel 
486,aero caramel 90g,aero caramel 90g
493,aero chocolate mini egg,aero chocolate mini egg
494,aero dark milk 90g,aero dark milk 90g
496,aero delightful peppermint small chocolate bar 36g,aero delightful peppermint small chocolate bar 36g
497,aero giant caramel 90g,aero giant caramel 90g
498,aero giant milk 90g,aero giant milk 90g
500,aero hot choc 288g,aero hot choc 288g
501,aero melt milk chocolate sharing bag 80g,aero melt milk chocolate sharing bag 80g
502,aero milk ,aero milk 
503,aero milk chocolate,aero chocolate
503,aero milk chocolate,aero milk chocolate
505,aero milk chocolate bar 36g,aero chocolate 36g
505,aero milk chocolate bar 36g,aero chocolate milk 36g
505,aero milk chocolate bar 36g,aero milk chocolate bar 36g
508,aero milk pouch 92g,aero milk pouch 92g
509,aero mint ,aero mint 
510,aero mint chocolate mousse 4 x 59g,aero milk chocolate mousse 4 x 59g
510,aero mint chocolate mousse 4 x 59g,aero mint chocolate mousse 4 x 59g
511,aero mlt crml pouch 8x86g,aero mlt crml pouch 8x86g
512,aero mlt milk pouch 8x92g,aero mlt milk pouch 8x92g
513,aero mousse choc 4pk 4x59g,aero mousse choc 4pk
513,aero mousse choc 4pk 4x59g,aero mousse choc 4pk 4x59g
515,aero orange 90g,aero orange 90g
516,aero orange chocolate 90g,aero orange chocolate 90g
