item_uuid,item_name,product_name,image_url
92c20001-5c44-4a98-9af2-058802b440fa,Nestlé® Carnation® Sweetened Condensed Milk 397g,nestl carnation sweetened condensed milk 397g,https://d1ralsognjng37.cloudfront.net/803f2c9e-2b5e-466a-83a4-635a5bd95862.jpeg
92c00cd2-57d9-531d-9a9f-5711ce78c42b,Mcdougalls Self Raising Flour 1.1kg,mcdougalls self raising flour 1.1kg,https://d1ralsognjng37.cloudfront.net/9b9ba09e-8a58-4427-8794-84bd809e2fff.jpeg
92bfb9e5-2972-42dd-9d76-b2d7c9b8663d,Estrella Damm 660ml,estrella damm 660ml,https://d1ralsognjng37.cloudfront.net/db44c116-e1d3-4a91-8f3d-1331c9e962de.jpeg
92bf55f8-49a9-4441-b483-3df461004466,Strongbow 440ml,strongbow 440ml,
92bd4e3f-eb9c-5a73-b4d0-d5ec3911f369,whiskas 1+ pouch meat in gravy pm 3.75 12x100g,whiskas 1 pouch meat in gravy  12x100g,https://tb-static.uber.com/prod/image-proc/processed_images/f40fdbe412ae70d71e6a43b3e11b1778/859baff1d76042a45e319d1de80aec7a.jpeg
92bc03ad-b0fb-5df7-aa33-f817e8aef5c6,Walkers MAX Punchy Paprika 70g,walker max punchy paprika 70g,https://d1ralsognjng37.cloudfront.net/3cb731c0-05fa-4a2a-83f3-8c609c4722dc.jpeg
92bba470-e260-40c4-9e6e-b48740cb75d0,PEPSI MAX 2L,pepsi max 2l,https://d1ralsognjng37.cloudfront.net/4b161e3a-4705-4dac-8429-70473bf2d104.jpeg
92ba4d04-4e67-5382-8b95-05ca23e1d7ad,Rustlers Chkn Sandwich,rustler chkn sandwich,
92b43ba1-e43a-5b4e-95cd-7c7737daa83c,co op orange juice smooth style 1ltr 1ltr,co op orange juice smooth style 1ltr 1ltr,
92b3ee13-5611-4710-8c41-24a4922e3e56,CO OP MINREAL WATER 2LTR,co op minreal water 2ltr,
