item_name,product_name
Jugo de naranja Dos Pinos litro  ,jugo de naranja do pinos litro
Agua Fresa Limón Alma Dos Pinos 600 ml 2755  ,agua fresa limn alma do pinos 600 ml 2755
Natilla La Granja Dos Pinos 300 g 8698,natilla la granja do pinos 300 g 8698
Leche Descremada Dos Pinos 1 L 1156,leche descremada do pinos 1 l 1156
Néctar Manzana Dos Pinos 200 ml 3240,nctar manzana do pinos 200 ml 3240
Leche Descremada Dos Pinos 250 ml 1163  ,leche descremada do pinos 250 ml 1163
Mantequilla Dos pinos 115g,mantequilla do pinos 115g
Leche En Polvo Coronado 350 Gr  ,leche en polvo coronado 350 gr
Jugo De Naranja Zanahoria Dos Pinos 1.8 L 9281,jugo de naranja zanahoria do pinos 1.8 l 9281
Yogurt Griego Vainilla Dos Pinos 200 g 7606  ,yogurt griego vainilla do pinos 200 g 7606
Queso Turrialba Dos Pinos 300 g 8450,queso turrialba do pinos 300 g 8450
12 Pack Leche Coronado UHT 2% Lt,12 pack leche coronado uht 2 % lt
Natilla La Granja con sal Dos Pinos 300 g 8728  ,natilla la granja con sal do pinos 300 g 8728
 Leche Saborizada UHT Coronado Galleta Maria-180 ml ,leche saborizada uht coronado galleta maria180 ml
Chocolate Corazón con Almendra Gallito 100 g 2441  ,chocolate corazn con almendra gallito 100 g 2441
Jugo Naranja Dos Pinos 500 ml 9038,jugo naranja do pinos 500 ml 9038
Helado Paleta Choco Snack Dos Pinos  0493  ,helado paleta choco snack do pinos 0493
Mantequilla Dos Pinos Barra 115 grs  ,mantequilla do pinos barra 115 grs
Helado Krunchy Crisp Dos Pinos 75 g 9053  ,helado krunchy crisp do pinos 75 g 9053
Jugo de naranja Dos Pinos litro,jugo de naranja do pinos litro
Helado Deleite Naranja Holandesa Dos Pinos 565 g 0516  ,helado deleite naranja holandesa do pinos 565 g 0516
Chocolate Morenito Gallito 200 g 9235  ,chocolate morenito gallito 200 g 9235
Natilla Delactomy DP Dos Pinos 400 g 4996,natilla delactomy dp do pinos 400 g 4996
Helado Cremoleta Fresa Dos Pinos 75 g 0141,helado cremoleta fresa do pinos 75 g 0141
Helado Crema Chips Dos Pinos 499 g 9633  ,helado crema chip do pinos 499 g 9633
Helado Chocoleta Dos Pinos 85 g 0110,helado chocoleta do pinos 85 g 0110
Helado Deleite Choco Bigger Dos Pinos 565 g 0554  ,helado deleite choco bigger do pinos 565 g 0554
Queso Montino Dos Pinos 400 g 8948,queso montino do pinos 400 g 8948
Natilla La Granja DP Dos Pinos 400 g 8575,natilla la granja dp do pinos 400 g 8575
Leche dos pinos estandar 1.8 litros,leche do pinos estandar 1.8 litros
Natilla La Granja Dos Pinos C/ Sal 300 grs,natilla la granja do pinos c sal 300 grs
Jugo Naranja 100 % Natural Dos Pinos 1.8 L 9069  ,jugo naranja 100 % natural do pinos 1.8 l 9069
Jugo Naranja 100 % Natural Dos Pinos 1.8 L 9069,jugo naranja 100 % natural do pinos 1.8 l 9069
Jockey Chocolate Gallito 45 g 8511,jockey chocolate gallito 45 g 8511
Queso crema original Dos pinos 210g,queso crema original do pinos 210g
Crema Dulce Dos Pinos 250 ml 4508,crema dulce do pinos 250 ml 4508
Ducal Frijol Rojo Volteados 400 g + Misión Tortilla Suavecitas 300 g + Dos Pinos Queso Pizzero Rallado 225 g (PLU 17268),ducal frijol rojo volteados 400 g misin tortilla suavecitas 300 g do pinos queso pizzero rallado 225 g plu 17268
Queso Gouda Dos Pinos 200 g 5574  ,queso gouda do pinos 200 g 5574
Natilla La Granja Dos Pinos 400 grs,natilla la granja do pinos 400 grs
DOS PINOS LECHE DESCREMADA 250 ML,do pinos leche descremada 250 ml
Helado Deleite Choco Bigger Dos Pinos 565 g 0554,helado deleite choco bigger do pinos 565 g 0554
Natilla Zarcero Dp 400 G 1031 ,natilla zarcero dp 400 g 1031
Natilla Liviana Dos Pinos 220 Cc 8513  ,natilla liviana do pinos 220 cc 8513
Queque La Estación,queque la estacin
Crema Dulce Dos Pinos 250 ml 4508  ,crema dulce do pinos 250 ml 4508
Leche Delactomy Dos Pinos (Semidescremada)1 L 1132,leche delactomy do pinos semidescremada1 l 1132
" 2 pack Helado Coronado Natilla / Fresa 1/4 gl, desc 25% ",2 pack helado coronado natilla fresa 14 gl desc 25 %
" 2 pack Helado Coronado Frutas 1/4 gl, desc 25% ",2 pack helado coronado frutas 14 gl desc 25 %
Helado Caramelo Dos Pinos 1/2 galón 9541  ,helado caramelo do pinos 12 galn 9541
Helado Chocoleta Cookies & Cream Dos Pinos 98 g 1871  ,helado chocoleta cooky cream do pinos 98 g 1871
Helado Combinado Dos Pinos 499 g 9619  ,helado combinado do pinos 499 g 9619
Queso Tico Rebanado Dos Pinos 12 uds 9786  ,queso tico rebanado do pinos 12 uds 9786
DOS PINOS NATILLA GRANJA 115 GR  ,do pinos natilla granja 115 gr
Jugo De Naranja Zanahoria Dos Pinos 1 L 9144  ,jugo de naranja zanahoria do pinos 1 l 9144
Helado Trits Dos Pinos 540 G 8680 ,helado trits do pinos 540 g 8680
Refresco Mixto Frutas Disfruta Dos Pinos 946 ml 5535,refresco mixto frutas disfruta do pinos 946 ml 5535
Mantequilla Sin Sal Dos Pinos 115 G 4980,mantequilla sin sal do pinos 115 g 4980
Helado Combinado Dos Pinos 499 g 9619,helado combinado do pinos 499 g 9619
