item_uuid,item_name,image_url,number_sku_sold
5e858799-e731-537f-a75a-a65267e97fef,yazoo banana pm 1 400ml,https://tb-static.uber.com/prod/image-proc/processed_images/d52524de70b382f8f402398e16f8c87f/859baff1d76042a45e319d1de80aec7a.jpeg,2
80bb34c3-76c4-5cbe-b32e-61a3f544ddce,yazoo banana pm 1 400ml,https://tb-static.uber.com/prod/image-proc/processed_images/d52524de70b382f8f402398e16f8c87f/859baff1d76042a45e319d1de80aec7a.jpeg,1
831c5b04-522d-5326-ac47-38834ff395d9,yazoo banana pm 1 400ml,https://tb-static.uber.com/prod/image-proc/processed_images/d52524de70b382f8f402398e16f8c87f/859baff1d76042a45e319d1de80aec7a.jpeg,16
84fe7567-2d86-5ddc-a99e-3ce02e7e3a2f,yazoo banana pm 1 400ml,https://tb-static.uber.com/prod/image-proc/processed_images/d52524de70b382f8f402398e16f8c87f/859baff1d76042a45e319d1de80aec7a.jpeg,4
8cbdcc3f-cdea-5333-b830-dde440da405e,yazoo banana pm 1 400ml,https://tb-static.uber.com/prod/image-proc/processed_images/d52524de70b382f8f402398e16f8c87f/859baff1d76042a45e319d1de80aec7a.jpeg,1
95fd83a4-9361-55cc-8c0c-df2946ab3612,yazoo banana pm 1 400ml,https://tb-static.uber.com/prod/image-proc/processed_images/d52524de70b382f8f402398e16f8c87f/859baff1d76042a45e319d1de80aec7a.jpeg,12
f9119a06-3ce8-4e35-85ba-2ca1d950ce9e,yazoo banana pm 1 400ml,,6
6c14fb2f-86c0-4483-9ac4-004ded17c717,wychwood hobgoblin 5.2% 500ml,,7
520fcc00-ef16-4011-9ad5-2c4e0890e007,wrigley extra sugar free white* 10pce,,7
47cd97af-918f-5fc1-a7a5-d8cbf1c3dfd0,wrigley extra sugar free peppermint  * 10pce,,1
f6b4393c-b73b-43d6-9aa5-14d56f1b3fef,wrigley extra ice sugar free peppermint * 10pce,,1
3d8ac466-0ef9-43c3-a707-c198dbfc698e,wrigley airwave cherry menthol * 10pce,,7
80ac2537-2852-521b-b972-96c1c1129ae4,wrigley airwave cherry menthol * 10pce,,4
14e0b51d-1de1-571d-8cc3-c0286a647bd5,wotsits cheese pm 1 50g,,4
2eae7f22-dca2-51c9-a678-012afd28849d,wotsits cheese pm 1 50g,,1
81970880-7e8f-4e15-8904-783af65f00d6,wotsits cheese pm 1 50g,,1
c1590ef6-13de-58d8-959d-615ad0071b19,wotsits cheese pm 1 50g,,2
d37181c7-66e5-5508-9f9f-deb239063495,wotsits cheese pm 1 50g,,0
ed5441ab-4ab1-506e-835b-69524cf6b4ff,wotsits cheese pm 1 50g,,6
039076b8-c644-542b-ba34-918c8d37d68c,wotsits cheese 6pk 6x16.5g,,2
2e9083c5-f17c-51cc-852f-91b895453e2a,wotsits cheese 6pk 6x16.5g,,0
675c59fd-05c9-56e6-9474-d97ca4d0613e,wotsits cheese 6pk 6x16.5g,,2
8d728e3f-c158-5f8b-9c57-a8565c1fb0da,wotsits cheese 6pk 6x16.5g,,0
bd2e23da-7fd5-5555-9cbf-c3654c0edffb,wotsits cheese 6pk 6x16.5g,,0
c3c70463-7ed7-53ba-8f78-7733b07d5130,wotsits cheese 6pk 6x16.5g,,2
d8700d47-4a90-5b48-b512-d05721a938d1,wotsits cheese 6pk 6x16.5g,,2
a159a59a-923f-5e58-91ec-106c67883535,wotsits cheese 36g,,1
10c80d24-5e64-5da1-b54e-326e662fc0f6,wkd pink gin pm 3.39 70cl,,3
b5b09763-9a0e-5bd6-b45a-c9204ea3f4aa,wkd pink gin pm 2.99 70cl,,3
eb9336a3-451f-5b8b-91f9-07c2e7677c02,wkd blue pm 70cl,,21
f2c2c5fd-8e31-5c81-a716-ae61c690fa37,wkd blue pm 3.39 70cl,,9
1881788c-ab73-5d21-a0de-74a0bf236e04,wkd blue pm 2.99 70cl,,6
261ca47a-9e6a-5ead-91d1-a196b33cf7c0,wkd blue pm 2.99 70cl,,1
ac32c684-57a2-53c4-8ee5-4da8194e19a4,wkd blue pm 2.99 70cl,,6
d3b6ca4e-6add-53dc-91e6-f4c68cb1299b,wkd blue pm 2.99 70cl,,3
1574193d-8317-4ef9-a8ce-7231af317651,wkd blue 4pk pm 4.99 4x275ml,https://tb-static.uber.com/prod/image-proc/processed_images/361e0b1b0c958e24212942139530f4dc/859baff1d76042a45e319d1de80aec7a.jpeg,1
4ff68622-9815-48c1-9497-fd71f7c537cf,wkd blue 4pk pm 4.99 4x275ml,,8
4ff68622-9815-48c1-9497-fd71f7c537cf,wkd blue 4pk pm 4.99 4x275ml,https://tb-static.uber.com/prod/image-proc/processed_images/361e0b1b0c958e24212942139530f4dc/859baff1d76042a45e319d1de80aec7a.jpeg,6
5b48496a-338d-55d2-b3e1-3d427462c48d,wkd blue 4pk pm 4.99 4x275ml,https://tb-static.uber.com/prod/image-proc/processed_images/361e0b1b0c958e24212942139530f4dc/859baff1d76042a45e319d1de80aec7a.jpeg,3
6e4848c4-4f55-5fcf-8506-4985f7bef2fd,wkd blue 4pk pm 4.99 4x275ml,https://tb-static.uber.com/prod/image-proc/processed_images/361e0b1b0c958e24212942139530f4dc/859baff1d76042a45e319d1de80aec7a.jpeg,1
83bbb028-c6be-51f6-a0b3-f5701ca82b91,wkd blue 4pk pm 4.99 4x275ml,https://tb-static.uber.com/prod/image-proc/processed_images/361e0b1b0c958e24212942139530f4dc/859baff1d76042a45e319d1de80aec7a.jpeg,2
d4644cf2-aa8e-5632-874e-06cf6f9e574f,wkd blue 4pk pm 4.99 4x275ml,https://tb-static.uber.com/prod/image-proc/processed_images/361e0b1b0c958e24212942139530f4dc/859baff1d76042a45e319d1de80aec7a.jpeg,3
ec1b24bb-774f-5c65-9013-84a4436ab6d2,wkd blue 4pk pm 4.99 4x275ml,https://tb-static.uber.com/prod/image-proc/processed_images/361e0b1b0c958e24212942139530f4dc/859baff1d76042a45e319d1de80aec7a.jpeg,1
15c529b4-1a9a-5b62-806b-b4e2b8eb085a,windsor blue sk real blue (t&t) * 20s,,1
d17a1331-d8c3-5425-a93e-c9562c6976fc,windsor blue sk real blue (t&t) * 20s,,0
