group_id,leader,member,modify_leader,image_url,image,label,canonical_leader,brand ,name ,package,promotion
2302,vino cousiom don lu cabernet sauvignon 750 ml 2041,vino cousiom don lu cabernet sauvignon 750 ml 2041,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e89ee3a6e832158e093fa7e24a95d0f0/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Cousiño Macul Vino Don Luis Cabernet Sauvignon Botella 750 ml,Cousiño Macul,Vino Don Luis Cabernet Sauvignon,Botella 750 ml,0
2303,vino cousiom don lu carme 750 ml chile 0177,vino cousiom don lu carme 750 ml chile 0177,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/5c53bf92c7e48a5adbf45e76894df4c5/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Cousiño Macul Vino Don Luis Carmenere Botella 750 ml,Cousiño Macul,Vino Don Luis Carmenere,Botella 750 ml,0
2304,vino crane lake white zinfandel 750 ml estados unidos 4451,vino crane lake white zinfandel 750 ml estados unidos 4451,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/15000182264a1697d01e5c25de4fc881/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Crane Lake Vino blanco Zinfandel Botella 750 ml,Crane Lake,Vino blanco Zinfandel,Botella 750 ml,0
2305,vino cune rioja crianza 750 ml 2413,vino cune rioja crianza 750 ml 2413,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/616ebb2eb04c1b57e5d6839c2bba1662/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Cune Vino Rioja Crianza Botella 750 ml,Cune,Vino Rioja Crianza,Botella 750 ml,0
2306,vino dark red 19 crime 750 ml 1688,vino dark red 19 crime 750 ml 1688,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/a7ff48b7839ff2e0623c17436749df34/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,19 Crimes Vino dark red Botella 750 ml,19 Crimes,Vino dark red,Botella 750 ml,0
2307,vino de martino estate cabernet sauv 750 ml chile 7949,vino de martino estate cabernet sauv 750 ml chile 7949,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/5b50f5dc82b776aad5a457f1cdc120a6/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,De Martino Vino Estate Botella 750 ml,De Martino,Vino Estate,Botella 750 ml,0
2308,vino el portillo vino malbec 750 ml argentina 0240,vino el portillo vino malbec 750 ml argentina 0240,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/b15810826ff39972811b1f432411e4f7/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Portillo Vino Malbec Botella 750 ml,Portillo,Vino Malbec,Botella 750 ml,0
2309,vino emiliana adob reserv merlot 750 ml chile 8552,vino emiliana adob reserv merlot 750 ml chile 8552,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/60f9b1643436f581d09e4b7b46a855f5/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Adobe Vino Emiliana Reserva Merlot Botella 750 ml,Adobe,Vino Emiliana Reserva Merlot,Botella 750 ml,0
2310,vino emilio moro finca resal 750 ml espaa 0439,vino emilio moro finca resal 750 ml espaa 0439,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/b78233e08fbf8073bd2b50935adaa51e/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Finca Resalso Vino Emilio Moro Botella 750 ml,Finca Resalso,Vino Emilio Moro,Botella 750 ml,0
2311,vino errazuriz re cabernet sauvignon 750 ml 4708,vino errazuriz re cabernet sauvignon 750 ml 4708,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e7ae4ba56b824444983f7e8752e02693/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Errazuriz Vino Cabernet Sauvignon Botella 750 ml,Errazuriz,Vino Cabernet Sauvignon,Botella 750 ml,0
