group_id,leader,member,modify_leader,image_url,Image,label,canonical_leader,brand,name,package ,promotion,Comments
21724,pastel explosion chocolate helado do pinos chocochips 14 gl 499 grs gaseosa pepsi 2.5 lts barquillo chocolate jack 65 grs,pastel explosion chocolate helado do pinos chocochips 14 gl 499 grs gaseosa pepsi 2.5 lts barquillo chocolate jack 65 grs,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9db5cffa5578a51744cb8938d1131f47/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE, Pack pastel explosion chocolate + helado de chocochips Dos Pinos + gaseosa Pepsi +  barquillo chocolate Jack 4 unids,,Pack pastel explosion chocolate + helado de chocochips Dos Pinos + gaseosa Pepsi +  barquillo chocolate Jack,4 unids,,
21725,pastello caramelle y vainilla break helado do pinos chocochips 14 gl 499 grs gaseosa pepsi 2.5 lts barquillo chocolate jack 65 grs,pastel rectangular break mujer helado combinado do pinos 14 gl 499 grs gaseosa pepsi 2.5 lts barquillo chocolate jack 65 grs,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9db5cffa5578a51744cb8938d1131f47/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE, Pack pastel rectangular break + helado combinado Dos Pinos + gaseosa Pepsi + barquillo chocolate Jack 4 unids,,Pack pastel rectangular break + helado combinado Dos Pinos + gaseosa Pepsi + barquillo chocolate Jack,4 unids,,
21725,pastello caramelle y vainilla break helado do pinos chocochips 14 gl 499 grs gaseosa pepsi 2.5 lts barquillo chocolate jack 65 grs,pastel rectangular break mujer helado do pinos chocochips 14 gl 499 grs gaseosa pepsi 2.5 lts barquillo chocolate jack 65 grs,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9db5cffa5578a51744cb8938d1131f47/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE, Pack pastel rectangular break + helado combinado Dos Pinos + gaseosa Pepsi + barquillo chocolate Jack 4 unids,,Pack pastel rectangular break + helado combinado Dos Pinos + gaseosa Pepsi + barquillo chocolate Jack,4 unids,,
21725,pastello caramelle y vainilla break helado do pinos chocochips 14 gl 499 grs gaseosa pepsi 2.5 lts barquillo chocolate jack 65 grs,pastello caramelle y vainilla break helado combinado do pinos 14 gl 499 grs gaseosa pepsi 2.5 lts barquillo chocolate jack 65 grs,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9db5cffa5578a51744cb8938d1131f47/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,Pastello caramelle y vainilla break + helado combinado Doa Pinos + gaseosa Pepsi + barquillo chocolate jack,,Pack pastello caramelle y vainilla break + helado combinado Dos Pinos + gaseosa Pepsi + barquillo chocolate jack,4 unids,,
21725,pastello caramelle y vainilla break helado do pinos chocochips 14 gl 499 grs gaseosa pepsi 2.5 lts barquillo chocolate jack 65 grs,pastello caramelle y vainilla break helado do pinos chocochips 14 gl 499 grs gaseosa pepsi 2.5 lts barquillo chocolate jack 65 grs,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9db5cffa5578a51744cb8938d1131f47/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE, Pack pastello caramelle y vainilla break + helado chocochips Dos Pinos + gaseosa Pepsi + barquillo chocolate jack 4 unids,,Pack pastello caramelle y vainilla break + helado chocochips Dos Pinos + gaseosa Pepsi + barquillo chocolate jack,4 unids,,
22462,pizza la cuatro estaciones,pizza la cuatro estaciones,Yes,https://d1ralsognjng37.cloudfront.net/48144c92-c83e-41cb-a925-ba1d8fc90198.jpeg,,TRUE, Pizza las cuatro estaciones 1 unid,,Pizza las cuatro estaciones,1 unid,,
22988,proteina choco almendras do pinos 250ml,proteina choco almendras do pinos 250ml,Yes,https://d1ralsognjng37.cloudfront.net/3a0bb5b1-4424-417d-8a99-870fb4e0538f.jpeg,,TRUE,Dos Pinos Leche descremada choco almendras +proteína Cartón 250 ml,Dos Pinos,Leche descremada choco almendras +proteína,Cartón 250 ml,,
22989,proteina coco do pinos 250ml,proteina coco do pinos 250ml,Yes,https://d1ralsognjng37.cloudfront.net/c8603ff8-d574-4eee-9b69-4bf6133fe910.jpeg,,TRUE,Dos Pinos Leche descremada coco +proteína Cartón 250 ml,Dos Pinos,Leche descremada coco +proteína,Cartón 250 ml,,
22990,proteina leche descremada do pinos 250ml,proteina leche descremada do pinos 250ml,Yes,https://d1ralsognjng37.cloudfront.net/ff2cdb38-ae11-43ee-adde-e0dc676076c2.jpeg,,TRUE,Dos Pinos Leche descremada +proteína Cartón 250 ml,Dos Pinos,Leche descremada +proteína,Cartón 250 ml,,
22991,proteina vainilla do pinos 250ml,leche proteina vainilla do pinos 250ml,Yes,https://d1ralsognjng37.cloudfront.net/9634b52c-66a6-4834-8fb0-2f77a9a6e4f4.jpeg,,TRUE,Dos Pinos Leche descremada vainilla +proteína Cartón 250 ml,Dos Pinos,Leche descremada vainilla +proteína,Cartón 250 ml,,
