group_id,leader,member,modify_leader,image_url,image,label,canonical_leader,brand ,name ,package,promotion
39131,t melocotn cero tropical 500 ml 0237,t melocotn cero tropical 500 ml 0237,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/81c6918b36bc02c23e84469e802a0dbc/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té frío melocotón cero Botella 500 ml,Tropical,Té frío melocotón cero,Botella 500 ml,0
39132,t melocotn tropical 500 ml 2112,t melocotn tropical 350 ml 2719,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9f6bc99c5234c3b096ebdee805f5e6d0/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té frío melocotón Botella 350 ml ,Tropical,Té frío melocotón,Botella 350 ml ,0
39132,t melocotn tropical 500 ml 2112,t melocotn tropical 500 ml 2112,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/85079bb7cfe72809e519e18e9cc77563/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té frío melocotón Botella 500 ml ,Tropical,Té frío melocotón,Botella 500 ml ,0
39133,t menta mondaisa 27.5 g 2291,t menta mondaisa 27.5 g 2291,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/d8e32d39698f587648b50f9121670e56/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Mondaisa Té menta piperita  Caja 25 unids,Mondaisa,Té menta piperita ,Caja 25 unids,0
39134,t negro cero manzana kiwi tropical 2.5 l 2034,t negro cero manzana kiwi tropical 2.5 l 2034,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/cf0f8644928af2146c8ee84285c382ca/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té negro manzana kiwi cero Botella 2.5 L ,Tropical,Té negro manzana kiwi cero,Botella 2.5 L ,0
39135,t negro cero manzana kiwi tropical 500 ml 2058,t negro cero manzana kiwi tropical 500 ml 2058,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/b1c311f34472f7228b34ad9319708f82/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té negro manzana kiwi cero Botella 500 ml,Tropical,Té negro manzana kiwi cero,Botella 500 ml,0
39136,t negro limn fuze tea 500 ml 1737,t negro limn fuze tea 500 ml 1737,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/818f3633e2c3480552d208b8c0c62860/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Fuze Tea Té negro limón Botella 500 ml,Fuze Tea,Té negro limón,Botella 500 ml,0
39137,t negro melocotn fuze tea 500 ml 1744,t negro melocotn fuze tea 500 ml 1744,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/40cafca2ca7b329acd7fd2ee6c7cdb12/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Fuze Tea Té negro melocotón Botella 500 ml,Fuze Tea,Té negro melocotón,Botella 500 ml,0
39138,t negro selecto manza t 25 uds 0512,t negro selecto manza t 25 uds 0512,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/a93959e5673ef9185ffc6f2aecc54b9e/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Manzana Té Té negro Caja 25 unids,Manzana Té,Té negro,Caja 25 unids,0
39140,t react manza t 20 uds 1847,t react manza t 20 uds 1847,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/418752819cce216f0770193007474721/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Manzana Té Té reacté Caja 20 unids,Manzana Té,Té reacté,Caja 20 unids,0
39141,t sleepy time celestial 20 uds 0034,t sleepy time celestial 20 uds 0034,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7e5d3b268f352b73adc75f995f5aef0b/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Celestial Seasonings Té sleepytime Caja 20 unids,Celestial Seasonings,Té sleepytime,Caja 20 unids,0
39142,t tranquilo manza t 25 uds 0109,t tranquilo manza t 25 uds 0109,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/afd8a41684961926acaea67fc6c92e52/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Manzana Té Té tranquité Caja 25 unids,Manzana Té,Té tranquité,Caja 25 unids,0
39143,t variado 5 sabores twinings 40 g 4729,t variado 5 sabores twinings 40 g 4729,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9cf712a3c3b874569549b9fc1713b0ad/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Twinings Classic tea collection Caja 20 unids,Twinings,Classic tea collection,Caja 20 unids,0
39144,t verde 5 sabores twinings 34 g 4743,t verde 5 sabores twinings 34 g 4743,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/a569d3baca291a4a9002c0727ff041af/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Twinings Green tea collection Caja 20 unids,Twinings,Green tea collection,Caja 20 unids,0
39145,t verde arizona lata 458 ml 0832,t verde arizona lata 458 ml 0832,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e3485f53226d775e183462cc2feae214/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Arizona Té verde Lata 458 ml ,Arizona,Té verde,Lata 458 ml ,0
39146,t verde cero manzana tropical 2.5 l 0213,t verde cero manzana tropical 2.5 l 0213,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/608cb200d5cdfd83cf678af63d1f2ff6/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té manzana verde cero Botella 2.5 L ,Tropical,Té manzana verde cero,Botella 2.5 L ,0
39147,t verde cero manzana tropical 500 ml 0220,t verde cero manzana tropical 500 ml 0220,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/5702a2f8315419ae47b7977968680d73/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té verde manzana verde cero Botella 500 ml ,Tropical,Té verde manzana verde cero,Botella 500 ml ,0
