group_id,leader,member,modify_leader,image_url,image,label,canonical leader ,brand ,name,package ,promotion
28650,monster punch pacific punch,monster pacific punch,No,https://tb-static.uber.com/prod/image-proc/processed_images/83c9130ff704aa6d9bd0093c0f216036/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,monster punch pacific punch,Monster energy,Pacific punch energy drink,1 unit,0
28744,morgan spiced 35 % dst  70cl,morgan spiced 35 % dst,No,,,False ,Captain Morgan spiced rum 700 ml,Captain Morgan,spiced rum,700 ml,0
29544,nestle aero peppermint,nestle aero peppermint,No,,,True ,nestle aero peppermint,Nestlé,Aero peppermint chocolate,1 unit,0
29569,nestle breakaway 6pk,nestle breakaway 6pk,Yes,https://d1ralsognjng37.cloudfront.net/fbeb9ad4-246c-44f6-8dee-2b66a4b84b8e.jpeg,,True ,Nestle Breakaway original 6 units,Nestle,Breakaway original,6 units,0
29926,nik niak nice n spicy 75g,nik naks nice n spicy crisp 75g,No,https://tb-static.uber.com/prod/image-proc/processed_images/d63da1340772d2c874b299003abc8dcf/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,nik niak nice n spicy 75g,Nik Naks,Nice 'n' spicy crisps,75 g,0
30135,oasis summer fruit pm 1 500ml,oasis summer fruit 500ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/8df6a73b2dc5823a4b578f417aed8e5c/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,oasis summer fruit pm 1 500ml,Oasis,Summer fruits drink,500 ml,0
30660,oreo original,oreo original,No,,,True ,oreo original,Oreo,Original cookies ,1 unit,0
31687,pepsi max,pepsi max,No,https://tb-static.uber.com/prod/image-proc/processed_images/1402ebf579f30c79e01a0e3c4e853e75/4218ca1d09174218364162cd0b1a8cc1.jpeg,,True ,pepsi max,Pepsi,Max soda,1 unit,0
32892,pringles salt vinegar crisp,pringles salt vinegar small,No,,,True ,pringles salt vinegar crisp,Pringles,Salt vinegar crisps,1 unit,0
33629,red bull energy,red bull energy,No,,,True ,red bull energy,Red Bull,Energy drink,1 unit,0
33645,red bull energy can 473 ml,red bull energy drink 473ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/b741a1e02cdd032fb6c7a70f7ee21808/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,red bull energy can 473 ml,Red Bull,Energy drink,473 ml,0
33673,red bull sugar free,red bull sugar free,No,,,True ,red bull sugar free,Red Bull,Sugar free energy drink,1 unit,0
35012,rowntree's fruit pastille,rowntree fruit pastille,No,https://d1ralsognjng37.cloudfront.net/7160646e-85ce-499e-914c-c0b6c386424e.jpeg,,True ,rowntree's fruit pastille,Rowntree's,Fruit pastilles,1 unit,0
36566,skittle tropical pouch,skittle tropical pouch,No,https://d1ralsognjng37.cloudfront.net/e111476c-1593-4b97-88f4-d493a1827319.jpeg,,True ,skittle tropical pouch,Skittles,Tropical candies,1 unit,0
36728,smirnff vdka 70cl,smirnff vdka 70cl,Yes,,,True ,smirnoff vodka 700 ml,Smirnoff,Vodka,700 ml,0
41155,utterly butterly 500 g,utterly butterly spread 250g,No,https://tb-static.uber.com/prod/image-proc/processed_images/94b28fb7111754bf244aa0830c10d858/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,utterly butterly 500 g,Utterly Butterly,Dairy free spread,500 g,0
41155,utterly butterly 500 g,utterly butterly spread 500g,No,https://tb-static.uber.com/prod/image-proc/processed_images/6bd2a762e89227a7778cc68f5e1b06e7/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,utterly butterly 500 g,Utterly Butterly,Dairy free spread,500 g,0
41705,volvic still water 1.5litre,volvic still water 1.5litre,Yes,,,True ,volvic still water 1.5 L,Volvic,Natural mineral water,1.5 L,0
42405,walker wotsits really cheesy snack 56g,walker wotsits really cheesey 56g,No,,,True ,walker wotsits really cheesy snack 56g,Walkers,Wotsits crunchy really cheesy dnacks,56 g,0
43440,wkd blue,wkd blue,No,,,True ,wkd blue,WKD Blue,Sparkling mix alcoholic ready to drink ,1 unit,0
