canonical_id,canonical_leader,brand,name,package,promotion,agent_verified
212,La Granja Mortadela Pollo 250 G,La Granja,Mortadela Pollo,empaque 250 g,0.0,1
213,Dos Pinos Paleta Choco Snack 1 Unid,Dos Pinos,Paleta Choco Snack,1 unid,0.0,1
214,Pack Dos Pinos 1 Paleta Choco Bigger Y Té Melocotón 500 Ml,Dos Pinos,Pack Paleta Choco Bigger + Té Melocotón 500,1 unid + botella 500 ml,0.0,1
215,Dos Pinos Paleta Choco Bigger 1 Unid,Dos Pinos,Paleta Choco Bigger,1 unid,0.0,1
216,Dos Pinos Paleta Chocoleta 1 Unid,Dos Pinos,Paleta Chocoleta,1 unid,0.0,1
217,Dos Pinos Paleta Cremoleta 1 Unid,Dos Pinos,Paleta Cremoleta,1 unid,0.0,1
218,Dos Pinos Paleta Cremoleta Limón 1 Unid,Dos Pinos,Paleta Cremoleta Limón,1 unid,0.0,1
219,Dos Pinos Paleta Helado Cero Grados 1 Unid,Dos Pinos,Paleta Helado Cero Grados,1 unid,0.0,1
220,Dos Pinos Paleta Parejita Chocolate 1 Unid,Dos Pinos,Paleta Parejita Chocolate,1 unid,0.0,1
221,Dos Pinos Rompope 1 L,Dos Pinos,Rompope,cartón 1 l,0.0,1
222,Dos Pinos Sundae Caramelo 130 G,Dos Pinos,Sundae Caramelo,vaso 130 g,0.0,1
223,Dos Pinos Sundae Churchill 140 G,Dos Pinos,Sundae Churchill,vaso 140 g,0.0,1
224,Dos Pinos Bebida De Té Azul 500 Ml,Dos Pinos,Bebida De Té Azul,botella 500 ml,0.0,1
225,Dos Pinos Té Blanco Frutal 500 Ml,Dos Pinos,Té Blanco Frutal,botella 500 ml,0.0,1
226,Dos Pinos Té Negro 500 Ml,Dos Pinos,Té Negro,botella 500 ml,0.0,1
227,Dos Pinos Té Reducción Arándano 500 Ml,Dos Pinos,Té Reducción Arándano,botella 500 ml,0.0,1
228,Dos Pinos Helado Trits 560 G,Dos Pinos,Helado Trits,pote 560 g,0.0,1
229,Dos Pinos Yogurt Sabor Guayabita 170 G,Dos Pinos,Yogurt Sabor Guayabita,pote 170 g,0.0,1
230,Dos Pinos Yogurt Natural Doble Topping 170 G,Dos Pinos,Yogurt Natural Doble Topping,pote 170 g,0.0,1
231,Forxiga 10 Mg 30 Comprimidos,Forxiga,Dapagliflozina 10 Mg,30 comprimidos,0.0,1
232,Dos Pinos Fresco Leche Sabor Chocolate 250 Ml,Dos Pinos,Fresco Leche Sabor Chocolate,cartón 250 ml,0.0,1
233,Dos Pinos Fresco Leche Sabor Fresa 250 Ml,Dos Pinos,Fresco Leche Sabor Fresa,cartón 250 ml,0.0,1
234,Dos Pinos Fresco Leche Sabor Vainilla 250 Ml,Dos Pinos,Fresco Leche Sabor Vainilla,cartón 250 ml,0.0,1
