Array joins,,,,,,Unique EANS,Count Unique: 14030,,
,Sku_Name,EAN,Parent,External_ID,,EAN,Sku_Name,Source,External_ID
EANs stored in ," 
Dewar's Caribbean Smooth Blended Scotch Whisky 1l",7640171033730,Asda,7304120,,7640171033730," 
,7 Up 6pk Free Cherry,4060800303455,Iceland,80370,,5060360502656,Actimel 8pk Multifruit,Iceland - Swift,73835
,7 Up 6pk Free Cherry,4060800303455,Iceland - Swift,80370,,5410146407024,Actimel 8pk Strawberry Probiotic,Iceland,34152
,7 Up Free 2ltr,4060800108609,McColls,42000987,,5060360502151,Actimel Fat Free Strawberry Yogurt Drinks,Asda,5923434
,7 Up Free Cherry 600Ml,4060800303646,SGN,4060800303646,,5060058331735,Actimel Multifruit Yogurt Drinks 12pk,Asda,2743850
,7 Up Free Cherry 600Ml,4060800303646,vendor_info_Ext_ID,4060800303646,,5060058332152,ACTIMEL STRAWBERRY 0% 8PK,Sainsburys,6310016
,7 Up Sugar Free 500ml,4060800109798,McColls,42001541,,5060058330868,Actimel Strawberry 12Pk12X100,Asda,2396629
,7 Up Sugar Free 600Ml,4060800135094,SGN,4060800135094,,5060360506203,Activia 0% Peach 4x115g,Sainsburys,3605370
,7 Up Sugar Free 600Ml,4060800135094,vendor_info_Ext_ID,4060800135094,,5060360506203,Activia 0% Peach Yoghurt 115g 4pk,McColls,62006830
,789 Mondelli Prosecco Spumante 75cl,239448,Sainsburys,7800128,,5060360506128,Activia 4pk Strawberry Yoghurt,Iceland,33506
,7up 500ml,4060800109781,vendor_info_Ext_ID,4060800109781,,5060360506388,Activia 8pk 0% Fat Yogurt,Iceland,53607
,7up 500ml,4060800109781,vendor_info_Ext_ID,4060800109781,,5060360506104,Activia 8pk Mixed Fruit Yogurt,Iceland,48407
,"7UP Free  Bottle, 2L",4060800108609,vendor_info_Ext_ID,4060800108609,,5060360506388,Activia Berry Fat Free 8X115G,Asda,7006858
,7UP free 2L,4060800108609,Sainsburys,2169972,,5060360502960,Activia Low Fat Vanilla Yogurt & Granola 165g,Asda,6202233
,7up Free 600ml,4060800135094,vendor_info_Ext_ID,4060800135094,,5060360500041,Activia Peach Yogurt 4X110G,Asda,4582596
,7up Free 600ml,4060800135094,vendor_info_Ext_ID,4060800135094,,5060360503387,Activia Rhubarb Bio Yogurt 4x115g,Sainsburys,6027652
,7Up Free 8x330ml Cans,4060800135049,Asda,3111508,,5060360503363,ACTIVIA STRAWBERRY 4PK 4x115g,Sainsburys,4131755
,7Up Free 8x330ml Cans,4060800135049,Asda,3111508,,5060360506289,Activia Strawberry No Added Sugar Yogurt 4X115G,Asda,7006854
,7Up Free Cherry  8x330ml Cans,4060800303462,Asda,6628924,,5060360503363,Activia Strawberry Yoghurt 120g 4pk,McColls,62004933
,7UP Free Cherry Bottle 2l,4060800303448,Asda,6628916,,5060360500003,Activia Strawberry Yogurt4X110G,Asda,4582588
,"7UP Free Lemon & Lime Bottle, 2L",4060800108609,vendor_info_Ext_ID,4060800108609,,5060360506104,Activia Yogurt Fruit 8X115G,Asda,7006862
,7UP Free Sparkling Lemon & Lime Drink 2L,4060800108609,Asda,2848,,5010998992473,Adeletto Prosecco               75Cl,Lincolnshire CoOp,5010998992473
,7UP Free Sparkling Lemon & Lime Drink 2L,4060800108609,Asda,2848,,5016878010435,Adnams 500m Ghost Ship Pale Ale,Iceland - Swift,82943
,7up Regular 2ltr,4060800304339,vendor_info_Ext_ID,4060800304339,,5060474940030,Adonis - Pecan Goji and Cocoa Bar 35g,Kindly of Brighton,1.99
,7up Regular 2ltr PM,4060800304339,MFG,M260634,,5060474940610,Adonis Dark Cocoa Orange Bar 35g,Kindly of Brighton,2.19
,7up Regular 2ltr PM,4060800304339,vendor_info_Ext_ID,4060800304339,,7613287695260,Adventuros Christmas Stocking 6pk,McColls,90015645
,7up Regular 2ltr PM,4060800304339,vendor_info_Ext_ID,4060800304339,,7613034919625,Aero 4pk Peppermint,Iceland,62969
,7up Regular PM 2ltr,4060800304339,vendor_info_Ext_ID,4060800304339,,7613039869505,Aero 90g Caramel,Iceland,80946
,88Vape Disposable Cool Grape,5050028272700,Asda,7366357,,7613039896167,Aero 90g Purely Chocolate,Iceland,74695
,88Vape Disposable Cool Spearmint 600 Puffs,5050028272779,Asda,7366371,,7613037914788,Aero Bliss Peppermint Chocolate Gift Box 200g,McColls,48000544
,88Vape Disposable Frosted Watermelon,5050028272724,Asda,7366361,,7613036241779,Aero Bubbles Peppermint chocolate 102g,vendor_info_Ext_ID,7613036241779
,88Vape Disposable Mango Sorbet,5050028272748,Asda,7366365,,7613287238498,Aero Bubbles Peppermint Chocolate 90g,vendor_info_Ext_ID,7613287238498
,88Vape Disposable Peach Ice,5050028272717,Asda,7366359,,7613039542767,Aero Bubbles White Bag 80g,MFG,M260747
,88Vape Disposable Pink Lemonade,5050028272731,Asda,7366363,,7613039872802,Aero Festive Orange,vendor_info_Ext_ID,7613039872802
,88Vape Disposable Strawberry Ice Cream 600 Puffs,5050028272762,Asda,7366369,,7613287586452,Aero Festive Snowy White,vendor_info_Ext_ID,7613287586452
,88Vape Disposable Strawberry Kiwi 600 Puffs,5050028272755,Asda,7366367,,7613031508808,Aero Instant Hot Chocolate 288g,Asda,2339133
,Aashirvaad Multigrain Atta 5kg,8901725100568,vendor_info_Ext_ID,8901725100568,,7613034920348,Aero Milk Chocolate Bubbly Bar 4 Pack,Asda,4992303
,Aashivaad Whole Wheat Flour 5kg,8901725100582,vendor_info_Ext_ID,8901725100582,,7613039869123,Aero Peppermint 90g,Morrisons,40007282
,Ab 10 York Puds Bigger/Better   190G,5000227000185,Lincolnshire CoOp,5000227000185,,7613035058347,Aero Peppermint Bar 36g,vendor_info_Ext_ID,7613035058347
,Abakus Seaweed Crisps Cheese Flavour 18g,634158955921,Kindly of Brighton,1.45,,7613287238498,AERO PEPPERMINT BUBBLES POUCH 92G,Sainsburys,7541209
,Abakus Seaweed Crisps Lightly Salted 18g,634158955907,Kindly of Brighton,1.45,,7613287430946,Aero Peppermint Bubbly Bar,Lincolnshire CoOp,7613287430946
,Abakus Seaweed Crisps Salt & Vinegar 18g,634158955914,Kindly of Brighton,1.45,,7613037596229,Aero Peppermint Mini eggs 70g,vendor_info_Ext_ID,7613037596229
,Abbey Beer Bottle,5410228142218,vendor_info_Ext_ID,5410228142218,,5029788168936,Africa's Finest Zomi Palm Oil 1L,vendor_info_Ext_ID,5029788168936
,Abbot Kinneys Barista Milk 1L,8719325335668,Kindly of Brighton,2.99,,5029788168912,Africa's Finest Zomi Palm Oil 2L,vendor_info_Ext_ID,5029788168912
,"ABess 10 2.5"" Yorkshire Puds 190g",5000227000185,Sainsburys,8037263,,5029788168851,Africas Pure Palm Oil 1L,vendor_info_Ext_ID,5029788168851
,Absolut 70cl Raspberri Vodka,7312040040704,Iceland,71773,,5000426171518,After Eight Dark Mint Chocolate Carton Box,Asda,551029
,Absolut 70cl Raspberri Vodka,7312040040704,Iceland - Swift,71773,,7613287558671,After Eight Giant Tube 80g,McColls,49001982
,Absolut Blue Vodka 70Cl,7312040017683,SGN,7312040017683,,7613035248342,After Eight Gift Tin 400g,McColls,49001610
,Absolut Blue Vodka 70CL,7312040017683,Southern CoOp,7312040017683,,5050665015845,Ainsley Harriott Roasted Vegetable Cous Cous,Asda,5802661
,Absolut Blue Vodka 70CL,7312040017683,vendor_info_Ext_ID,7312040017683,,42070047,Airwaves Blackcurrant          14G,Lincolnshire CoOp,42070047
,Absolut Blue Vodka 70Cl,7312040017683,vendor_info_Ext_ID,7312040017683,,4009900426039,Airwaves Menthol & Eucalyptus Sugar Free Chewing Gum Bottle 46 Pieces,vendor_info_Ext_ID,4009900426039
,Absolut Original Swedish Vodka 70cl,7312040017683,vendor_info_Ext_ID,7312040017683,,5011417567548,Airwick 1 Linen Reed Diffusr,Iceland,68303
,Absolut Original Swedish Vodka 70cl,7312040017683,vendor_info_Ext_ID,7312040017683,,5011417564905,Airwick Candle Pink Sweet Pea EACH,Southern CoOp,5011417564905
,Absolut Passionfruit Flavoured Vodka 70cl,7312040552528,Asda,6666124,,5011417561447,Airwick Candle White Vanilla Bean EACH,Southern CoOp,5011417561447
,Absolut Passionfruit Martini Cocktail 250ml,7312040323005,Asda,6967892,,3059943009080,AIRWICK FRESHMATIC REFILL LAVENDER 250ML,vendor_info_Ext_ID,3059943009080
,Absolut Raspberry Vodka 70cl,7312040550371,Asda,1767913,,5011417551721,AIRWICK FRESHMATIC REFILL LINEN& LILAC 250ML,vendor_info_Ext_ID,5011417551721
,Absolut Vodka 700m Vodka,7312040017683,Iceland,71748,,5011417568064,Airwick Liquid Electrical Complete Linen 19ML,Southern CoOp,5011417568064
,Absolut Vodka 700m Vodka,7312040017683,Iceland - Swift,71748,,5011417563878,AIRWICK PURE SPRING DELIGHT 250ML,vendor_info_Ext_ID,5011417563878
,Absolut Vodka 70cl,7312040017683,Sainsburys,2958699,,5059001003669,Airwick Reed Diffuser Fresh Linen 33ML,Southern CoOp,5059001003669
,Absolut Vodka 70cl,731040017683,vendor_info_Ext_ID,731040017683,,5011157200408,Akash 5kg Basmati Rice,Iceland,72115
,Absolut Vodka 70cl,731040017683,vendor_info_Ext_ID,731040017683,,5010338300999,Al Fez Lebanese Style Falafel Kit 150g,Asda,7384023
,Absolut Vodka 70cl,731040017683,vendor_info_Ext_ID,731040017683,,5010338102104,Al Fez Moroccan Meatball Tagine Sauce 450g,Asda,7079950
,Absolut Vodka 70cl,7312040017683,Morrisons,81001883,,5010338300982,Al Fez Moroccan Spiced Couscous 200g,Asda,7384025
,Absolut Vodka Blue 70cl,7312040017683,MFG,M503500,,5060110485321,Albert Bartlett 250g Cheese Croquettes,Iceland,90935
,Absolut Vodka Blue 70cl,7312040017683,vendor_info_Ext_ID,7312040017683,,5060110488193,Albert Bartlett 250g Potato Croquettes,Iceland,90936
,Absolut Vodka Blue 70cl,7312040017683,vendor_info_Ext_ID,7312040017683,,5060110481774,Albert Bartlett 2kg Butter Gold Potatoes,Iceland - Swift,86847
,Absolut Vodka Blue 70cl. Great Deals £24.99. Original Price £30.19,7312040017683,vendor_info_Ext_ID,7312040017683,,5060110480005,Albert Bartlett 2kg Rooster Potatoes,Iceland,62813
,Accents Of The Season Bouquet,1734096,Sainsburys,7298588,,5060110488216,Albert Bartlett 300g Crispy Potato Slces,Iceland,90937
,Acti-Shake Hi Protein Chocolate Milk 358Ml,5060188692355,SGN,5060188692355,,5060110485222,Albert Bartlett 400g Mashed Potato,Iceland,90938
,Acti-Shake Hi Protein Chocolate Milk 358Ml,5060188692355,vendor_info_Ext_ID,5060188692355,,5060110480005,Albert Bartlett Rooster Potatoes 2kg,Asda,1751711
,Acti-Shake Hi Protein Strawberry Milk 358Ml,5060188692362,SGN,5060188692362,,5012254060230,Alberto Balsam 200m Ultra Strong Gel,Iceland - Swift,76059
,Acti-Shake Hi Protein Strawberry Milk 358Ml,5060188692362,vendor_info_Ext_ID,5060188692362,,8710908182082,Alberto Balsam 350m Raspberry Conditioner,Iceland,63869
