external_id,EAN,Sku_Name,Source,Brandbank Product Name,Product Group 1,Product Group 2,Product Group 3,Functional Name,Variant,Brand,Gross Weight (g),Net Content,Allergy Advice,Per100 Energy (kJ),Per100 Energy (kcal),Per100 Carbohydrates (g),Per100 Fat (g),Per100 Total Sugar (g),Per100 Salt (g),Per100 Protein (g),Per100 Fibre (g),Alcohol By Volume (%)
7304120,7640171033730," 
Dewar's Caribbean Smooth Blended Scotch Whisky 1l",Asda,Dewar's Caribbean Smooth Blended Scotch Whisky 700ml,Off Licence,Spirits & Liqueurs,Whisky,Whisky,Blended Scotch,Dewar's,1061,,,,,,,,,,,40
71374,5111112853134,. 1.2k Conference Pears,Iceland,Keelings Pears,Fruit & Vegetables,Other Fruit,Other Pears,Pears,,Keelings,1431,,,,,,,,,,,
71436,5055822000030,. 1.5k Gala Apple,Iceland,AC Goatham & Son Royal Gala,Fruit & Vegetables,Apples,Other Apples,,Royal Gala,,1605,,,,,,,,,,,
67519,5412873086848,. 1.5k Value Fry Chips,Iceland,,,,,,,,,,,,,,,,,,,
74959,5017221111625,. 10pk Jam & Cream Doughnuts,Iceland,,,,,,,,,,,,,,,,,,,
89361,8710648218188,. 18pk Sponge. Scourers,Iceland - Swift,18 Sponge Scourers,Kitchen & Bathroom,General Cleaners,Other Cleaner,Sponge Scourers,,,56,18 x Sponge Scourers,,,,,,,,,,
73801,7320020051671,. 1kg Premium Frankfurter,Iceland,Scandic Foods Premium Frankfurter 1000g,Frozen Foods,Frozen Meats,Other Frozen Meats,Premium Frankfurter,,Scandic Foods,1051,1000g e,,1144,273,7,23,1,1.6,10,,
58988,5010482589882,. 1unt Celery,Iceland,,,,,,,,,,,,,,,,,,,
88528,5010228006116,. 2pk Fries To Go,Iceland,Fries to Go Crispy Fries in Minutes 2 x 90g,Frozen Foods,Frozen Potato Products,Other Frozen Potato Products,Crispy Fries in Minutes,,Fries To Go,,90g e,,990,235,37,7.6,1.3,0.36,3.2,2.9,
85963,5060329692664,. 2pk No Chick Kiev,Iceland,,,,,,,,,,,,,,,,,,,
64792,5060125543641,. 32pk Value Sausages,Iceland,,,,,,,,,,,,,,,,,,,
86180,5013499000036,. 405g Curry Sauce,Iceland - Swift,Goldfish Brand Chinese Curry Sauce Concentrate 405g,Grocery,Sauces & Condiments,Other Sauces & Condiments,Curry Sauce Concentrate,Chinese,Goldfish Brand,436,405g,"Contains: Mustard, Wheat
May Contain: Celery, Soya",,,,,,,,,
90639,5056586600009,. 4pk Smoked Haddock Flts,Iceland,,,,,,,,,,,,,,,,,,,
69332,5020089000246,. 500g Beetroot,Iceland,,,,,,,,,,,,,,,,,,,
43188,5010482431884,. 500g Brussels Sprouts,Iceland - Swift,,,,,,,,,,,,,,,,,,,
78504,5060672400121,. 5kg Chicken Fillets,Iceland,Skinless Chicken Breasts Fillets 5kg,Frozen Foods,Frozen Meats,Frozen Chicken Portions,Chicken Breasts Fillets,Skinless,,5120,5kg e,,475,113,0,2.4,0,1.29,22.8,0,
55602,5000171050939,John West 3pk Tuna In Spring Water,Iceland,John West Tuna Chunks in Spring Water 3 x 80g,Grocery,Other Tins,Tinned Tuna,Tuna Chunks,In Spring Water,John West,335,3 x 80g e,Contains: Fish,478,113,0,0.5,0,0.8,27,,
71476,5000171055002,John West 4pk Tuna Chunks In Brine,Iceland,John West Tuna Chunks in Brine 4 x 145g,Grocery,Other Tins,Tinned Tuna,Tuna Chunks,In Brine,John West,777,4 x 145g e,Contains: Fish,,,0,,0,,,,
71474,5000171055026,John West 4pk Tuna Chunks In Spring Wa,Iceland,John West Tuna Chunks in Spring Water 4 x 145g,Grocery,Other Tins,Tinned Tuna,Tuna Chunks,In Spring Water,John West,725,4 x 145g e,Contains: Fish,,,,,,,,,
71475,5000171055019,John West 4pk Tuna Chunks In Sunflwr,Iceland,John West Tuna Chunks in Sunflower Oil 4 x 145g,Grocery,Other Tins,Tinned Tuna,Tuna Chunks,In Sunflower Oil,John West,739,4 x 145g e,Contains: Fish,,,0,,0,,,,
68293,5000171057891,John West 5pk Tuna Steak In Springwater,Iceland,John West No Drain Tuna Steak with a Little Spring Water 5 x 110g,Grocery,Other Tins,Tinned Tuna,Tuna Steak,With a Little Spring Water,John West,752,5 x 110g e,Contains: Fish,534,126,0,1,0,0.9,29,,
87881,5000171060372,John West 95g Anchovy Fillets In Olive Oil,Iceland,John West Anchovy Fillets in Olive Oil 95g,Ready Made Foods,Meals,Other,Anchovy Fillets,In Olive Oil,John West,201,95g e,Contains: Fish,943,226,0,14,0,14.5,25,0,
5000171057693,5000171057693,John West No Drain Tuna Steak In Brine 110G,SGN,John West No Drain Tuna Steak with a Little Brine 110g,Grocery,Other Tins,Tinned Tuna,Tuna Steak,With a Little Brine,John West,164,110g e,Contains: Fish,534,126,0,1,0,1,29,,
5000171057716,5000171057716,John West No Drain Tuna Steak In Sunflower Oil 110G,Southern CoOp,John West Fridge Pot Tuna Steak with a Little Sunflower Oil 110g,Grocery,Other Tins,Tinned Tuna,Fridge Pot Tuna Steak,With a Little Sunflower Oil,John West,,110g e,Contains: Fish,713,170,0,6.4,0,0.9,28,,
7632234,5000171054852,John West Tuna Chilli & Garlic 80g,Sainsburys,John West Infusions Tuna Chilli & Garlic 80g,Grocery,Other Tins,Tinned Tuna,Tuna,Chilli & Garlic,John West,,80g e,"Contains: Fish
May Contain: Celery, Eggs, Milk, Mustard, Soya",857,205,0.3,12,0.2,1,24,,
80038063,5000171055002,John West Tuna Chunks in Brine 145g 4pk,Morrisons,John West Tuna Chunks in Brine 4 x 145g,Grocery,Other Tins,Tinned Tuna,Tuna Chunks,In Brine,John West,777,4 x 145g e,Contains: Fish,,,0,,0,,,,
6041041,5000171055002,John West Tuna Chunks in Brine 4pk,Asda,John West Tuna Chunks in Brine 4 x 145g,Grocery,Other Tins,Tinned Tuna,Tuna Chunks,In Brine,John West,777,4 x 145g e,Contains: Fish,,,0,,0,,,,
80038586,5000171055026,John West Tuna Chunks in Spring Water 145g 4pk,Morrisons,John West Tuna Chunks in Spring Water 4 x 145g,Grocery,Other Tins,Tinned Tuna,Tuna Chunks,In Spring Water,John West,725,4 x 145g e,Contains: Fish,,,,,,,,,
6041045,5000171055026,John West Tuna Chunks in Spring Water 4x145g,Asda,John West Tuna Chunks in Spring Water 4 x 145g,Grocery,Other Tins,Tinned Tuna,Tuna Chunks,In Spring Water,John West,725,4 x 145g e,Contains: Fish,,,,,,,,,
80038064,5000171055019,John West Tuna Chunks in Sunflower Oil 145g 4pk,Morrisons,John West Tuna Chunks in Sunflower Oil 4 x 145g,Grocery,Other Tins,Tinned Tuna,Tuna Chunks,In Sunflower Oil,John West,739,4 x 145g e,Contains: Fish,,,0,,0,,,,
6041043,5000171055019,John West Tuna Chunks in Sunflower Oil 4pk,Asda,John West Tuna Chunks in Sunflower Oil 4 x 145g,Grocery,Other Tins,Tinned Tuna,Tuna Chunks,In Sunflower Oil,John West,739,4 x 145g e,Contains: Fish,,,0,,0,,,,
35477,5000267014203,Johnnie Walker 70cl Red Label Whisky,Iceland,Johnnie Walker Red Label Blended Scotch Whisky 70cl,Off Licence,Spirits & Liqueurs,Whisky,,,Johnnie Walker,1056,,,,,,,,,,,
5000267014203,5000267014203,Johnnie Walker Red Label Whisky 70Cl,SGN,Johnnie Walker Red Label Blended Scotch Whisky 70cl,Off Licence,Spirits & Liqueurs,Whisky,,,Johnnie Walker,1056,,,,,,,,,,,
86361,3574669907095,Johnson's 50pk Baby Cotton Pads,Iceland - Swift,JOHNSON'S® Baby 50 Cotton Pads,Baby,Other Baby Products,Baby Care Products,Cotton Pads,,JOHNSON'S®,,50 x Pads,,,,,,,,,,
3597545,3574669908603,JOHNSON'S BABY BEDTIME BATH 500ML,Sainsburys,JOHNSON'S® Bedtime Bath 500ml,Baby,Other Baby Products,Toiletries,Bedtime Bath,,JOHNSON'S®,,500ml e,,,,,,,,,,
7521953,5000207584506,JOHNSON'S BABY COTTON BUDS x200,Sainsburys,,,,,,,,,,,,,,,,,,,
3669617,3574669909143,JOHNSON'S BABY OIL 300ML,Sainsburys,JOHNSON'S® Baby Oil 300ml,Baby,Other Baby Products,Baby Care Products,Baby Oil,,JOHNSON'S®,,300ml e,,,,,,,,,,
2051581,3574669908252,JOHNSON'S BABY POWDER 200G,Sainsburys,JOHNSON'S® Baby Powder 200g,Baby,Other Baby Products,Baby Care Products,Baby Powder,,JOHNSON'S®,,200g e,,,,,,,,,,
6320315,3574669908252,Johnson's Baby Powder 200g,Asda,JOHNSON'S® Baby Powder 200g,Baby,Other Baby Products,Baby Care Products,Baby Powder,,JOHNSON'S®,,200g e,,,,,,,,,,
6320305,3574669907668,Johnson's Baby Shampoo 200ml,Asda,Johnson's Baby Shampoo 200ml,Skin and Hair Care,Haircare,Shampoo,Shampoo,Baby,Johnson's,,200ml e,,,,,,,,,,
6320331,3574669908603,Johnson's Bedtime Bath 500ml,Asda,JOHNSON'S® Bedtime Bath 500ml,Baby,Other Baby Products,Toiletries,Bedtime Bath,,JOHNSON'S®,,500ml e,,,,,,,,,,
3574661421728,3574661421728,Johnson's Gentle All Over Baby Wipes 56 pack,vendor_info_Ext_ID,,,,,,,,,,,,,,,,,,,
6325663,3574661440460,Johnson's Travel Size Baby Cotton Buds 100 Buds,Asda,JOHNSON'S® Baby Cotton Buds 100 Buds,Baby,Other Baby Products,Baby Care Products,Cotton Buds,,JOHNSON'S®,,100 x Buds,,,,,,,,,,
6325659,3574669909211,Johnson's Travel Size Baby Oil,Asda,JOHNSONS® Baby Oil 100ml,Baby,Other Baby Products,Baby Care Products,Baby Oil,,JOHNSONS®,102,100ml e,,,,,,,,,,
6325661,3574669908269,Johnson's Travel Size Baby Powder,Asda,JOHNSON'S® Baby Powder 100g,Baby,Other Baby Products,Baby Care Products,Baby Powder,,JOHNSON'S®,,100g e,,,,,,,,,,
6325657,3574669907651,Johnson's Travel Size Baby Shampoo,Asda,JOHNSON'S® Baby Shampoo 100ml,Baby,Other Baby Products,Toiletries,Baby Shampoo,,JOHNSON'S®,,100ml e,,,,,,,,,,
3574669909624,3574669909624,JOHNSON'S® Baby Lotion 200ml,vendor_info_Ext_ID,JOHNSON'S® Baby Lotion 200ml,Baby,Other Baby Products,Baby Care Products,Baby Lotion,,JOHNSON'S®,,200ml e,,,,,,,,,,
