canonical_id,canonical_leader,brand,name,package,promotion,agent_verified
5969,Delicatessen Fine Eating Original Pepperoni Snack  90 G,Delicatessen Fine Eating,Original Pepperoni Snack,90 g,,1
5970,Delicatessen Fine Eating Honey Roast Ham  90 G,Delicatessen Fine Eating,Honey Roast Ham,90 g,,1
5971,Delicatessen Fine Eating Oven Roasted Ham 90 G,Delicatessen Fine Eating,Oven Roasted Ham,90 g,,1
5972,Delicatessen Fine Eating Pepperoni 20 Slices 200 G,Delicatessen Fine Eating,Pepperoni 20 Slices,200 g,,1
5973,Delicatessen Fine Eating Roast Chicken 1 Unit,Delicatessen Fine Eating,Roast Chicken,1 unit,,1
5974,Delicatessen Fine Eating Smoked Diced Pancetta 90 Gg,Delicatessen Fine Eating,Smoked Diced Pancetta,90 gg,,1
5975,Delicatessen Fine Eating Smoked Pork Sausage  1 Unit,Delicatessen Fine Eating,Smoked Pork Sausage,1 unit,,1
5976,Delicatessen Fine Eating Smoked Pork Sausage  180 G,Delicatessen Fine Eating,Smoked Pork Sausage,180 g,,1
5977,Delicatessen Fine Eating Eating Tikka Bite 200 G,Delicatessen Fine Eating,Eating Tikka Bite,200 g,,1
5978,Delicatessen Fine Eating Traditional Cooked Ham 90 G,Delicatessen Fine Eating,Traditional Cooked Ham,90 g,,1
5979,Delicatessen Fine Eating Grilled Chicken 1 Unit,Delicatessen Fine Eating,Grilled Chicken,1 unit,,1
5980,Delicatessen Fine Eating Sliced Chicken 100 G,Delicatessen Fine Eating,Sliced Chicken,100 g,,1
5981,Delicatessen Fine Eating Grilled Chicken 100 G,Delicatessen Fine Eating,Grilled Chicken,100 g,,1
5982,Delicatessen Fine Eating Hotspicy Pepperoni Snaack 1 Unit,Delicatessen Fine Eating,Hotspicy Pepperoni Snaack,1 unit,,1
5983,Delicatessen Fine Eating German Salami 1 Unit,Delicatessen Fine Eating,German Salami,1 unit,,1
5984,Delicatessen Fine Eating Pepper Salami 1 Unit,Delicatessen Fine Eating,Pepper Salami,1 unit,,1
5985,Delicatessen Fine Eating Pepperoni 1 Unit,Delicatessen Fine Eating,Pepperoni,1 unit,,1
5986,Delicatessen Fine Eating Pepperoni Slice 90 G,Delicatessen Fine Eating,Pepperoni Slice,90 g,,1
5987,Delicatessen Fine Eating Smoked Ham  90 G,Delicatessen Fine Eating,Smoked Ham,90 g,,1
5988,Deliciously Ella Fruity Bircher Muesli  500 G,Deliciously Ella,Fruity Bircher Muesli,500 g,,1
5989,Delifrance All Butter Croissant 4 Units,Delifrance,All Butter Croissant,4 units,,1
5990,Delifrance Baguette 2 Units,Delifrance,Baguette,2 units,,1
5991,Delifrance Petit Pain 4 Units,Delifrance,Petit Pain,4 units,,1
5992,Delphi Black And Green Olive 160 G,Delphi,Black And Green Olive,160 g,,1
5993,Delphi Black And Green Olive 1 Unit,Delphi,Black And Green Olive,1 unit,,1
5994,Delphi Classic Houmous Dip 1 Unit,Delphi,Classic Houmous Dip,1 unit,,1
5995,Delphi Coleslaw 230 G,Delphi,Coleslaw,230 g,,1
